date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,1,0,0,0,0,0,1,0
2020-06-08,0,0,0,0,0,0,0,1,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,1,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,1,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,1,1,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,1
2020-06-22,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,1,0,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0,0,0,0
2020-07-10,0,0,0,0,0,0,0,0,1,0
2020-07-11,0,0,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,0,0,0
2020-07-15,0,0,0,0,0,0,0,0,0,0
2020-07-16,0,0,0,0,0,0,0,0,0,0
2020-07-17,0,0,0,0,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,0,0,0,0
2020-07-21,1,1,0,2,0,0,0,0,0,0
2020-07-22,4,3,0,2,1,0,0,0,0,0
2020-07-23,0,0,1,0,0,1,1,0,0,0
2020-07-24,1,0,1,0,1,0,0,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0,2,0,1
2020-07-27,0,0,0,0,1,0,0,0,0,0
2020-07-28,0,0,0,0,0,0,0,0,0,0
2020-07-29,0,0,0,0,0,0,0,1,0,0
2020-07-30,0,0,0,1,0,1,0,0,0,0
2020-07-31,0,2,0,0,0,0,0,0,0,0
2020-08-01,0,0,0,0,2,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,0,0,0,0,0
2020-08-04,0,0,0,0,1,0,0,0,0,0
2020-08-05,0,0,0,0,1,0,0,0,0,0
2020-08-06,0,0,0,0,0,0,0,0,0,0
2020-08-07,0,0,0,0,0,0,0,0,0,0
2020-08-08,0,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0,0,0,0
2020-08-11,0,0,0,0,0,0,0,0,0,0
2020-08-12,0,2,1,3,0,0,0,0,0,0
2020-08-13,0,0,0,0,0,0,0,0,0,0
2020-08-14,0,1,0,0,0,1,0,0,0,0
2020-08-15,0,0,0,0,0,0,0,0,0,0
2020-08-16,0,2,0,1,0,4,1,0,1,0
2020-08-17,0,2,0,0,3,0,1,0,0,0
2020-08-18,0,0,0,1,0,0,0,0,1,0
2020-08-19,1,0,0,2,2,0,0,0,0,0
2020-08-20,0,1,0,0,0,0,0,0,0,0
2020-08-21,0,1,0,0,0,0,0,0,0,0
2020-08-22,0,0,0,0,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0,0,0,0
2020-08-24,1,1,3,2,1,0,0,0,1,0
2020-08-25,0,0,0,0,0,0,0,0,0,0
2020-08-26,0,1,0,0,0,0,0,0,0,0
2020-08-27,0,0,1,1,0,0,0,0,0,0
2020-08-28,0,0,1,0,0,0,0,0,0,0
2020-08-29,0,0,0,0,0,0,0,0,0,0
2020-08-30,0,0,1,0,1,1,0,0,0,0
2020-08-31,0,0,0,0,0,0,0,0,0,0
2020-09-01,0,0,0,1,1,0,0,0,0,0
2020-09-02,0,0,1,0,1,2,0,0,0,0
2020-09-03,0,0,0,0,0,0,0,1,0,0
2020-09-04,0,0,0,1,0,0,0,0,0,0
2020-09-05,0,0,0,2,0,0,0,0,0,1
2020-09-06,0,0,2,3,0,1,1,0,0,0
2020-09-07,0,1,1,2,0,1,1,0,0,0
2020-09-08,0,0,0,0,0,0,3,0,0,0
2020-09-09,1,0,0,1,1,1,0,0,0,0
2020-09-10,0,0,0,0,0,1,0,0,0,2
2020-09-11,0,0,3,0,0,1,0,0,0,0
2020-09-12,0,0,0,0,0,2,2,0,0,0
2020-09-13,0,0,0,0,0,0,0,0,0,0
2020-09-14,0,0,0,0,4,0,1,3,0,0
2020-09-15,0,0,0,0,0,0,0,0,1,0
2020-09-16,0,0,0,1,0,0,2,0,1,0
2020-09-17,0,0,0,2,0,1,2,0,0,0
2020-09-18,0,0,1,1,2,2,2,3,10,6
2020-09-19,0,1,0,1,0,0,1,0,0,1
2020-09-20,1,0,0,0,0,0,0,0,0,0
2020-09-21,0,1,1,1,0,0,0,0,0,0
2020-09-22,0,1,0,0,1,0,1,2,0,0
2020-09-23,1,0,1,1,0,1,0,1,0,0
2020-09-24,0,0,0,3,1,1,0,0,0,0
2020-09-25,0,0,2,0,1,2,0,0,0,0
2020-09-26,0,0,0,0,1,3,1,1,0,0
2020-09-27,0,0,1,0,0,0,0,0,0,0
2020-09-28,0,0,2,1,1,0,0,1,1,0
2020-09-29,0,0,1,0,0,0,0,0,1,0
2020-09-30,0,0,0,1,0,1,0,0,1,0
2020-10-01,0,0,0,0,0,0,0,0,0,0
2020-10-02,1,1,2,3,0,7,2,0,1,0
2020-10-03,0,0,1,0,0,1,0,0,0,0
2020-10-04,1,1,0,0,0,0,2,0,0,0
2020-10-05,0,0,0,0,1,0,0,0,0,0
2020-10-06,0,0,3,0,2,4,3,0,0,0
2020-10-07,1,1,0,1,2,0,3,2,2,0
2020-10-08,0,3,5,3,1,2,0,0,0,0
2020-10-09,0,2,5,4,3,0,2,0,0,0
2020-10-10,0,4,8,7,3,9,8,2,4,1
2020-10-11,2,7,2,2,3,3,2,1,0,0
2020-10-12,3,4,6,2,4,5,2,0,0,0
2020-10-13,7,5,3,8,6,4,10,5,4,0
2020-10-14,4,16,7,4,4,6,9,1,0,0
2020-10-15,0,2,2,3,3,4,5,1,1,0
2020-10-16,1,1,1,0,2,2,3,1,4,0
2020-10-17,2,5,3,7,5,7,4,1,0,0
2020-10-18,3,6,3,5,6,6,4,2,2,1
2020-10-19,2,7,4,1,3,4,3,3,0,0
2020-10-20,3,1,6,7,5,4,5,2,0,1
2020-10-21,3,14,5,8,14,7,6,2,2,0
2020-10-22,0,2,5,4,5,3,3,3,4,1
2020-10-23,24,8,4,12,16,10,9,11,1,1
2020-10-24,8,10,8,7,9,12,5,6,7,3
2020-10-25,1,0,0,1,0,10,2,1,2,0
2020-10-26,0,3,3,7,4,13,2,2,5,0
2020-10-27,2,12,8,19,12,9,4,16,26,25
2020-10-28,10,17,12,13,16,19,21,10,6,1
2020-10-29,3,24,10,14,17,15,6,5,11,4
2020-10-30,3,25,7,12,10,13,12,7,3,0
2020-10-31,2,8,3,8,12,11,11,1,7,1
2020-11-01,1,0,2,2,5,2,6,7,3,5
2020-11-02,3,13,5,19,28,12,13,6,6,0
2020-11-03,3,2,6,14,12,10,11,7,5,0
2020-11-04,11,21,9,14,15,19,15,4,4,2
2020-11-05,5,15,10,15,16,35,12,7,9,10
2020-11-06,5,6,12,14,9,19,14,2,1,0
2020-11-07,4,3,6,7,14,15,5,6,8,3
2020-11-08,0,0,0,0,0,3,3,0,2,0
2020-11-09,6,10,9,14,20,25,13,7,9,3
2020-11-10,6,10,6,6,21,12,8,6,5,2
2020-11-11,8,12,13,16,14,30,13,5,6,0
2020-11-12,6,10,12,12,7,15,7,1,4,0
2020-11-13,6,16,14,20,22,27,25,16,18,12
2020-11-14,4,16,13,14,16,19,18,6,3,1
2020-11-15,5,3,1,1,1,6,6,4,11,4
2020-11-16,5,19,34,21,27,37,22,14,12,12
2020-11-17,19,11,14,18,18,18,18,7,5,1
2020-11-18,10,7,16,12,13,18,14,13,7,3
2020-11-19,7,11,16,12,16,21,8,10,5,0
2020-11-20,4,20,10,13,29,20,18,11,6,3
2020-11-21,6,14,7,12,12,14,7,5,5,0
2020-11-22,0,1,0,1,0,0,0,1,3,0
2020-11-23,6,7,20,18,23,26,21,6,10,1
2020-11-24,4,17,5,9,20,33,16,12,8,4
2020-11-25,5,10,21,18,21,24,9,10,7,1
2020-11-26,2,9,11,13,18,21,13,12,1,1
2020-11-27,8,9,11,18,29,29,20,15,12,3
2020-11-28,3,7,12,7,10,15,10,4,4,2
2020-11-29,0,0,0,1,2,0,1,0,2,0
2020-11-30,0,12,11,13,16,29,17,8,19,11
2020-12-01,7,8,21,10,16,8,16,11,11,4
2020-12-02,3,5,11,14,7,19,11,7,7,4
2020-12-03,1,6,10,9,9,19,14,15,17,11
2020-12-04,3,4,7,12,9,13,8,4,3,0
2020-12-05,1,5,7,9,11,10,7,7,3,1
2020-12-06,0,1,0,0,0,1,1,1,0,0
2020-12-07,5,0,1,1,2,2,1,1,2,0
2020-12-08,0,0,0,0,0,0,0,1,1,0
2020-12-09,0,12,10,6,8,16,7,10,12,6
2020-12-10,0,1,2,1,5,6,5,2,3,0
2020-12-11,6,8,10,4,9,13,12,11,6,0
2020-12-12,7,4,5,13,13,18,8,8,12,5
2020-12-13,1,3,5,5,3,3,4,4,6,6
2020-12-14,2,2,5,4,2,11,5,5,3,0
2020-12-15,1,2,6,13,10,18,10,5,0,0
2020-12-16,5,3,9,5,8,15,6,11,4,4
2020-12-17,6,3,5,4,7,13,7,7,9,8
2020-12-18,4,8,14,14,12,23,13,5,3,2
2020-12-19,1,0,0,0,2,2,4,1,2,2
2020-12-20,2,2,5,5,10,13,16,11,12,9
2020-12-21,2,9,20,14,6,12,12,3,5,3
2020-12-22,1,7,5,3,11,14,16,5,4,1
2020-12-23,5,9,7,13,15,11,13,5,3,0
2020-12-24,0,0,2,1,2,2,3,2,0,0
2020-12-25,0,0,0,0,1,1,0,1,0,0
2020-12-26,0,0,0,0,0,0,1,1,2,0
2020-12-27,0,0,0,0,0,3,3,1,1,0
2020-12-28,4,6,14,7,12,12,9,7,3,0
2020-12-29,15,10,10,14,15,12,8,5,5,1
2020-12-30,3,4,9,10,7,9,11,4,10,10
2020-12-31,1,1,1,3,6,4,1,4,0,0
2021-01-01,0,0,0,0,1,0,2,1,3,0
2021-01-02,3,8,15,8,14,10,7,8,11,4
2021-01-03,0,0,0,0,0,0,1,0,2,0
2021-01-04,2,7,12,11,8,18,7,8,1,1
2021-01-05,3,5,7,8,13,9,8,3,5,1
2021-01-06,0,4,3,1,4,4,1,2,0,0
2021-01-07,3,13,17,7,9,17,10,11,6,2
2021-01-08,3,5,6,8,18,11,8,13,4,1
2021-01-09,2,8,13,2,7,9,4,1,1,0
2021-01-10,0,0,0,0,2,1,0,0,2,0
2021-01-11,4,6,6,10,8,21,16,21,20,13
2021-01-12,2,5,8,7,7,18,15,5,7,1
2021-01-13,3,7,2,3,6,6,9,8,4,0
2021-01-14,7,10,12,9,24,18,8,4,3,1
2021-01-15,3,6,8,3,10,16,10,6,3,4
2021-01-16,5,3,2,5,4,8,8,9,1,2
2021-01-17,0,0,0,1,0,0,0,0,0,0
2021-01-18,2,4,3,1,6,12,5,7,3,1
2021-01-19,2,5,7,7,9,10,6,0,1,1
2021-01-20,1,4,6,9,5,5,6,2,3,0
2021-01-21,6,9,3,15,9,14,11,5,5,1
2021-01-22,9,13,11,10,7,23,6,4,3,0
2021-01-23,3,7,1,3,3,10,0,9,0,2
2021-01-24,0,0,0,1,3,3,0,0,0,0
2021-01-25,3,7,14,7,20,19,12,10,1,3
2021-01-26,3,11,7,9,8,6,3,3,5,1
2021-01-27,12,5,9,7,11,11,16,5,1,0
2021-01-28,8,12,7,7,22,11,13,4,2,0
2021-01-29,3,5,12,12,10,16,14,9,4,3
2021-01-30,15,5,5,9,17,9,11,8,10,0
2021-01-31,0,0,1,0,1,0,2,1,0,0
2021-02-01,4,9,9,10,12,12,6,4,3,0
2021-02-02,6,5,6,15,11,18,12,5,5,1
2021-02-03,11,14,9,15,16,17,12,11,3,2
2021-02-04,5,9,5,10,13,12,13,8,5,0
2021-02-05,5,10,10,7,11,22,5,4,9,11
2021-02-06,6,11,9,6,17,17,3,12,2,1
2021-02-07,0,0,0,0,1,0,2,0,0,0
2021-02-08,14,26,17,17,25,18,20,8,5,6
2021-02-09,1,5,9,14,8,19,7,8,5,0
2021-02-10,7,9,10,17,13,19,16,6,3,1
2021-02-11,5,9,5,9,10,18,9,10,5,3
2021-02-12,8,10,14,18,12,25,7,8,3,0
2021-02-13,2,7,5,2,5,7,5,1,0,0
2021-02-14,0,0,0,0,0,3,1,4,1,0
2021-02-15,14,16,13,19,36,23,17,14,8,4
2021-02-16,4,12,10,8,18,18,15,6,2,1
2021-02-17,16,19,14,17,25,21,16,3,10,1
2021-02-18,3,6,6,12,13,26,10,8,5,1
2021-02-19,4,7,9,9,18,12,12,5,4,0
2021-02-20,2,4,10,4,10,14,13,7,3,0
2021-02-21,0,0,0,0,1,3,1,1,1,1
2021-02-22,14,19,10,10,19,25,10,12,13,3
2021-02-23,4,2,5,4,11,3,5,11,4,0
2021-02-24,6,13,11,20,27,23,22,16,5,1
2021-02-25,7,13,5,7,6,8,7,4,1,1
2021-02-26,10,11,14,22,27,28,17,12,2,0
2021-02-27,4,7,4,3,10,6,2,3,3,0
2021-02-28,0,0,0,0,1,1,3,1,1,2
2021-03-01,8,22,9,10,23,18,12,9,6,2
2021-03-02,1,6,3,4,10,10,3,4,5,3
2021-03-03,10,27,12,16,26,26,13,14,7,1
2021-03-04,4,5,3,6,7,7,3,2,0,0
2021-03-05,13,6,4,10,10,13,7,6,4,1
2021-03-06,4,3,0,10,1,3,9,3,5,1
2021-03-07,0,0,1,0,0,0,1,0,1,0
2021-03-08,13,17,6,15,16,11,19,7,2,4
2021-03-09,6,5,9,6,5,10,7,6,3,1
2021-03-10,7,13,15,6,19,15,11,5,7,1
2021-03-11,13,10,7,12,17,6,12,3,1,0
2021-03-12,5,5,4,2,14,13,7,6,4,2
2021-03-13,3,1,3,3,0,10,2,3,2,0
2021-03-14,0,0,0,0,0,1,0,1,2,0
2021-03-15,7,7,10,12,18,15,7,5,4,1
2021-03-16,4,8,8,12,8,14,6,2,2,0
2021-03-17,4,5,8,8,8,12,9,4,1,1
2021-03-18,7,6,6,8,14,12,10,7,4,0
2021-03-19,3,3,3,9,6,4,8,0,1,0
2021-03-20,2,1,1,4,3,4,2,2,2,0
2021-03-21,0,0,2,0,0,0,0,1,1,0
2021-03-22,3,5,6,6,8,7,5,1,1,0
2021-03-23,3,7,1,6,8,7,3,2,1,0
2021-03-24,2,0,6,1,10,9,6,8,2,0
2021-03-25,2,7,4,2,9,7,6,5,3,1
2021-03-26,4,10,5,10,9,8,10,5,0,1
2021-03-27,0,3,4,2,1,3,2,1,2,0
2021-03-28,0,0,0,0,0,1,0,1,1,0
2021-03-29,1,1,7,2,6,8,2,2,1,0
2021-03-30,0,3,5,10,5,8,2,3,1,2
2021-03-31,9,14,4,5,8,1,3,2,2,0
2021-04-01,1,8,6,6,3,5,3,7,0,0
2021-04-02,2,1,4,3,3,3,6,4,1,1
2021-04-03,1,0,4,3,2,3,0,2,0,0
2021-04-04,0,0,0,0,0,0,0,0,0,0
2021-04-05,0,0,0,0,0,1,0,0,0,0
2021-04-06,4,3,5,3,4,3,1,4,2,0
2021-04-07,6,1,7,4,7,4,3,1,0,1
2021-04-08,4,0,12,4,5,21,9,1,0,0
2021-04-09,6,4,8,8,7,8,1,1,1,0
2021-04-10,1,0,4,6,3,7,3,2,1,0
2021-04-11,0,0,0,0,0,0,0,0,0,0
2021-04-12,9,4,9,4,5,10,2,4,0,0
2021-04-13,0,4,2,4,1,3,4,1,2,0
2021-04-14,2,10,8,7,4,9,12,12,3,1
2021-04-15,1,4,4,6,3,7,7,2,1,0
2021-04-16,4,15,3,13,9,7,3,3,1,2
2021-04-17,1,3,0,2,2,2,2,0,0,0
2021-04-18,0,0,1,0,0,1,0,0,0,0
2021-04-19,2,19,9,5,2,8,3,0,0,0
2021-04-20,15,4,5,7,6,4,4,4,1,1
2021-04-21,5,4,5,9,5,8,2,1,0,0
2021-04-22,10,11,2,8,8,4,3,1,0,0
2021-04-23,4,3,2,4,5,6,1,1,2,0
2021-04-24,5,2,1,2,3,3,3,0,0,0
2021-04-25,0,0,0,0,0,0,0,0,0,0
2021-04-26,5,4,2,5,2,7,6,2,1,0
2021-04-27,4,3,3,6,6,4,3,6,1,0
2021-04-28,1,6,6,5,7,3,5,0,2,0
2021-04-29,8,9,2,6,4,0,3,0,1,0
2021-04-30,3,8,6,7,14,2,5,3,3,1
2021-05-01,0,0,0,0,0,0,0,0,0,0
2021-05-02,0,0,1,0,0,0,0,0,0,0
2021-05-03,6,1,1,2,3,5,6,1,0,0
2021-05-04,5,0,1,4,0,3,3,1,0,0
2021-05-05,9,1,3,7,5,5,2,4,1,0
2021-05-06,2,0,3,1,1,3,3,1,0,0
2021-05-07,6,0,6,2,0,7,2,0,2,0
2021-05-08,0,1,1,1,0,3,1,0,0,0
2021-05-09,0,0,0,0,0,0,0,0,0,0
2021-05-10,4,3,4,3,6,6,2,1,0,0
2021-05-11,3,5,1,1,3,1,0,0,0,0
2021-05-12,3,1,3,0,1,2,1,1,2,0
2021-05-13,1,0,0,1,0,2,0,0,0,1
2021-05-14,3,1,4,0,4,4,3,0,0,0
2021-05-15,0,0,0,0,0,0,0,0,0,0
2021-05-16,0,0,0,0,0,0,0,0,0,0
2021-05-17,1,4,2,2,1,1,1,1,1,1
2021-05-18,1,0,1,1,1,1,0,0,0,0
2021-05-19,2,1,0,0,4,3,0,0,0,0
2021-05-20,0,0,1,0,0,1,0,0,0,0
2021-05-21,0,0,1,0,1,1,1,0,0,0
2021-05-22,0,0,0,0,0,1,0,0,0,0
2021-05-23,0,0,0,0,0,0,0,0,0,0
2021-05-24,3,1,0,2,1,3,0,1,0,0
2021-05-25,0,1,1,1,0,0,0,0,0,0
2021-05-26,2,0,2,0,3,1,1,1,0,0
2021-05-27,1,1,0,0,1,0,0,0,0,0
2021-05-28,0,1,0,0,3,0,0,2,0,0
2021-05-29,0,0,1,0,0,0,0,0,0,0
2021-05-30,0,0,0,0,0,1,0,0,0,0
2021-05-31,1,0,2,2,0,3,0,0,0,0
2021-06-01,0,0,1,0,2,1,0,0,0,0
2021-06-02,0,0,0,0,0,0,0,0,0,0
2021-06-03,0,0,1,0,0,2,1,0,0,0
2021-06-04,1,1,1,1,1,0,0,0,0,0
2021-06-05,0,0,0,0,0,0,1,0,1,0
2021-06-06,0,0,0,0,0,0,0,0,0,0
2021-06-07,3,0,0,3,1,1,0,1,0,0
2021-06-08,1,0,0,0,0,1,1,0,0,0
2021-06-09,0,0,0,1,0,1,1,0,0,0
2021-06-10,0,1,0,3,0,0,0,0,0,0
2021-06-11,0,0,0,0,1,1,0,0,1,0
2021-06-12,0,0,0,0,4,0,0,0,0,0
2021-06-13,0,0,0,0,0,0,0,0,0,0
2021-06-14,3,2,0,0,4,1,0,1,0,0
2021-06-15,0,1,0,3,0,0,0,0,0,0
2021-06-16,1,0,2,3,0,2,0,0,0,0
2021-06-17,2,0,0,2,2,3,2,0,0,0
2021-06-18,1,0,1,3,0,0,1,1,1,0
2021-06-19,1,1,0,1,1,0,0,0,0,0
2021-06-20,0,0,0,0,0,0,0,0,0,0
2021-06-21,2,0,0,0,1,0,0,0,0,0
2021-06-22,0,0,3,1,1,0,0,0,1,0
2021-06-23,0,0,2,0,0,0,1,0,0,0
2021-06-24,2,1,0,0,2,0,0,0,0,0
2021-06-25,0,0,3,0,1,0,0,0,10,4
2021-06-26,0,0,0,0,0,0,0,0,0,0
2021-06-27,0,0,0,0,0,0,0,0,0,0
2021-06-28,0,0,0,1,1,0,0,0,0,0
2021-06-29,0,0,0,0,0,1,0,0,0,0
2021-06-30,0,0,0,0,0,0,0,0,0,0
2021-07-01,0,0,0,0,0,0,0,0,0,0
2021-07-02,0,1,0,0,0,1,1,0,0,0
2021-07-03,0,0,1,0,0,0,0,0,0,0
2021-07-04,0,0,0,0,0,0,0,0,0,0
2021-07-05,0,0,0,0,2,1,0,1,0,0
2021-07-06,1,0,1,1,0,0,0,0,0,0
2021-07-07,0,3,4,0,1,3,0,0,0,0
2021-07-08,0,0,0,0,0,0,0,0,0,0
2021-07-09,0,6,0,0,1,0,0,0,0,0
2021-07-10,0,0,0,0,1,0,0,0,0,0
2021-07-11,0,0,0,0,0,0,0,0,0,0
2021-07-12,1,14,0,0,1,0,0,1,0,0
2021-07-13,0,4,3,1,1,0,0,0,0,0
2021-07-14,3,8,2,2,4,2,0,0,0,0
2021-07-15,2,3,3,0,1,1,2,0,0,0
2021-07-16,0,4,5,2,1,0,1,0,0,0
2021-07-17,0,0,1,0,0,0,0,0,0,0
2021-07-18,0,0,0,0,0,0,0,0,0,0
2021-07-19,1,6,3,2,0,0,0,2,1,0
2021-07-20,0,0,0,1,2,0,0,0,0,0
2021-07-21,2,10,1,1,2,0,0,1,0,0
2021-07-22,2,1,0,0,1,1,0,0,0,0
2021-07-23,1,5,3,3,1,0,3,0,0,0
2021-07-24,0,0,0,0,0,0,0,0,0,0
2021-07-25,0,0,0,0,0,0,0,0,0,0
2021-07-26,0,4,3,4,1,3,1,1,1,0
2021-07-27,0,1,0,0,0,0,0,0,0,0
2021-07-28,2,2,2,3,3,3,0,0,0,0
2021-07-29,0,0,2,0,1,0,0,0,0,0
2021-07-30,5,4,4,6,1,1,2,0,0,0
