date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-09-11,1,0,1,1,0,0,0,0,1,0
2020-09-12,0,0,0,0,0,0,1,0,0,0
2020-09-13,0,0,0,0,0,0,0,0,0,0
2020-09-14,1,0,0,0,0,0,0,0,0,0
2020-09-15,0,0,0,1,0,1,0,0,0,0
2020-09-16,0,0,0,0,1,1,0,0,0,0
2020-09-17,0,0,1,1,0,0,0,0,0,0
2020-09-18,0,0,0,0,0,0,1,0,0,0
2020-09-19,0,0,0,0,1,0,0,0,0,0
2020-09-20,0,0,0,0,0,0,0,0,0,0
2020-09-21,0,0,4,2,1,1,1,0,0,0
2020-09-22,1,1,2,2,1,3,1,0,1,0
2020-09-23,0,0,0,1,1,1,2,0,0,0
2020-09-24,0,1,0,0,0,2,1,0,0,0
2020-09-25,1,0,1,1,2,4,2,0,0,1
2020-09-26,0,0,0,3,4,5,2,6,0,5
2020-09-27,1,0,2,0,0,0,1,0,0,0
2020-09-28,0,1,1,0,0,1,0,0,0,0
2020-09-29,0,1,3,0,6,4,1,1,1,1
2020-09-30,1,0,2,3,4,3,0,0,5,0
2020-10-01,2,6,2,0,4,8,3,2,5,4
2020-10-02,0,1,0,1,0,4,2,0,0,1
2020-10-03,0,1,0,1,1,0,1,2,1,0
2020-10-04,0,0,0,0,0,0,0,1,0,0
2020-10-05,0,0,0,3,0,1,0,0,1,0
2020-10-06,1,0,0,2,2,2,0,0,0,0
2020-10-07,0,0,1,1,1,3,2,1,0,0
2020-10-08,0,0,1,3,7,5,3,2,1,0
2020-10-09,1,0,0,2,2,2,1,0,0,0
2020-10-10,0,0,0,1,2,0,1,0,5,0
2020-10-11,1,1,0,0,0,1,0,0,0,1
2020-10-12,1,0,0,1,0,1,0,0,1,1
2020-10-13,0,0,0,0,3,0,1,0,0,0
2020-10-14,0,1,0,1,0,2,1,0,0,0
2020-10-15,0,1,3,9,10,4,1,1,1,1
2020-10-16,0,0,3,2,3,5,2,1,1,1
2020-10-17,0,0,0,3,2,4,1,0,0,1
2020-10-18,0,0,0,1,3,2,1,0,1,0
2020-10-19,0,1,4,2,0,2,1,0,2,0
2020-10-20,0,1,2,3,2,4,2,3,5,5
2020-10-21,0,0,3,5,2,3,3,2,0,2
2020-10-22,0,0,2,1,3,7,1,1,0,1
2020-10-23,1,0,1,4,5,5,5,0,3,1
2020-10-24,1,3,3,1,4,3,2,1,1,0
2020-10-25,0,1,2,0,3,0,0,1,2,0
2020-10-26,2,7,14,8,10,17,10,6,1,1
2020-10-27,0,4,9,5,6,6,4,5,0,0
2020-10-28,3,14,7,19,19,18,12,5,4,0
2020-10-29,6,4,4,5,5,6,4,6,4,1
2020-10-30,2,5,5,5,10,6,8,1,14,3
2020-10-31,4,22,9,9,12,13,4,4,2,0
2020-11-01,0,4,2,1,4,4,0,5,1,0
2020-11-02,2,6,13,11,17,20,7,4,10,5
2020-11-03,1,11,4,9,14,17,13,3,13,13
2020-11-04,0,17,12,10,16,17,9,5,5,1
2020-11-05,8,8,13,12,11,9,6,8,3,1
2020-11-06,4,12,18,13,19,21,6,6,9,1
2020-11-07,6,12,8,15,17,22,8,5,9,1
2020-11-08,4,5,1,8,9,11,4,11,19,16
2020-11-09,4,7,10,13,22,26,11,10,5,0
2020-11-10,11,11,12,26,32,26,19,14,14,12
2020-11-11,2,7,15,19,19,23,14,5,3,1
2020-11-12,5,15,21,23,18,28,20,6,7,3
2020-11-13,8,8,14,13,23,11,12,6,12,0
2020-11-14,0,11,14,11,19,27,13,12,23,8
2020-11-15,3,5,3,4,3,3,4,2,3,4
2020-11-16,1,11,19,11,19,32,15,12,6,1
2020-11-17,4,17,18,5,18,18,12,6,3,1
2020-11-18,0,16,17,13,20,23,14,3,7,2
2020-11-19,3,12,17,17,12,31,21,9,5,1
2020-11-20,5,15,14,21,22,28,15,2,7,3
2020-11-21,5,5,10,7,5,15,9,8,8,2
2020-11-22,0,4,2,8,4,4,5,3,7,1
2020-11-23,13,11,16,26,23,32,15,7,8,6
2020-11-24,6,11,12,15,19,13,5,11,8,0
2020-11-25,3,8,9,6,17,19,9,16,6,2
2020-11-26,1,13,9,15,20,24,18,14,23,14
2020-11-27,8,14,18,16,25,31,14,8,7,3
2020-11-28,4,5,4,7,8,11,4,8,6,2
2020-11-29,1,2,2,3,4,2,5,1,1,1
2020-11-30,5,11,7,8,15,10,11,5,5,0
2020-12-01,3,7,9,9,14,14,9,2,4,2
2020-12-02,6,12,5,15,9,13,15,5,8,1
2020-12-03,5,4,2,7,13,8,10,2,3,1
2020-12-04,2,9,4,5,8,15,10,3,3,0
2020-12-05,4,6,1,6,3,3,3,4,2,0
2020-12-06,1,1,1,1,3,3,1,0,0,0
2020-12-07,2,3,4,1,7,11,5,1,4,1
2020-12-08,2,0,0,1,2,0,0,0,1,0
2020-12-09,2,7,4,6,11,9,5,1,6,1
2020-12-10,1,3,2,3,9,12,11,3,5,1
2020-12-11,2,5,2,4,9,10,4,4,2,0
2020-12-12,2,0,1,1,6,7,2,2,3,0
2020-12-13,0,0,0,0,0,0,1,0,0,0
2020-12-14,2,6,5,6,8,7,4,6,9,2
2020-12-15,3,1,1,1,6,5,3,3,0,0
2020-12-16,1,3,1,5,9,19,15,12,9,0
2020-12-17,1,0,3,1,5,9,6,3,1,1
2020-12-18,1,4,6,5,3,6,4,3,7,0
2020-12-19,2,3,2,4,5,7,6,4,7,3
2020-12-20,1,0,0,2,0,0,0,1,1,0
2020-12-21,3,4,3,4,9,4,5,3,5,0
2020-12-22,0,4,6,11,7,12,11,2,3,0
2020-12-23,2,7,4,4,12,6,10,5,2,2
2020-12-24,6,1,1,2,1,6,7,0,1,0
2020-12-25,0,0,0,1,2,0,1,1,1,0
2020-12-26,1,0,0,2,0,1,4,0,1,0
2020-12-27,1,1,0,0,0,2,1,0,0,0
2020-12-28,6,5,18,10,5,10,3,3,2,2
2020-12-29,8,7,12,13,13,15,15,2,5,0
2020-12-30,2,2,9,6,8,12,9,1,5,1
2020-12-31,3,7,7,9,6,13,8,2,2,0
2021-01-01,1,0,2,1,0,5,0,0,0,1
2021-01-02,4,1,5,9,5,2,4,4,0,0
2021-01-03,2,3,2,0,2,1,2,0,2,1
2021-01-04,7,10,16,13,9,11,9,3,4,0
2021-01-05,11,3,8,14,9,18,11,6,13,5
2021-01-06,1,2,1,3,1,1,0,0,6,6
2021-01-07,10,11,11,11,12,7,6,3,1,4
2021-01-08,9,11,7,8,14,7,9,5,1,2
2021-01-09,1,0,6,9,4,12,6,7,11,4
2021-01-10,1,0,0,1,1,0,0,2,3,0
2021-01-11,4,7,15,9,10,15,6,9,10,6
2021-01-12,2,2,2,6,5,5,1,2,3,1
2021-01-13,1,4,5,8,8,4,5,5,4,1
2021-01-14,1,6,3,4,2,6,3,2,0,1
2021-01-15,0,3,1,3,3,5,7,3,12,9
2021-01-16,0,6,2,5,7,4,3,1,1,0
2021-01-17,0,2,1,1,1,0,0,0,0,0
2021-01-18,3,4,4,2,6,4,1,0,2,1
2021-01-19,2,4,4,5,1,8,4,1,4,0
2021-01-20,2,0,2,7,2,9,2,3,4,6
2021-01-21,1,3,2,2,5,6,0,0,0,1
2021-01-22,3,1,1,5,7,7,2,1,3,1
2021-01-23,3,3,4,7,10,9,2,0,1,1
2021-01-24,0,0,0,1,0,1,0,0,1,0
2021-01-25,4,2,4,6,6,6,4,0,3,1
2021-01-26,1,2,2,3,6,6,1,3,1,0
2021-01-27,2,2,3,3,2,6,1,1,2,0
2021-01-28,1,2,2,4,3,6,2,2,12,4
2021-01-29,3,2,0,7,3,0,5,3,2,0
2021-01-30,0,5,0,3,2,2,2,2,1,2
2021-01-31,0,0,1,2,0,0,0,1,1,0
2021-02-01,1,2,5,4,8,2,2,0,2,1
2021-02-02,0,2,2,1,6,5,2,3,0,0
2021-02-03,0,2,5,6,8,8,6,0,5,0
2021-02-04,1,2,2,3,4,9,7,4,3,0
2021-02-05,2,5,6,4,4,3,2,2,3,2
2021-02-06,0,5,8,3,8,7,5,0,3,0
2021-02-07,0,5,0,0,0,0,0,0,1,0
2021-02-08,4,13,11,3,10,14,10,5,1,2
2021-02-09,0,3,2,7,4,8,5,4,2,0
2021-02-10,5,7,4,4,9,8,5,2,2,0
2021-02-11,3,12,6,6,7,4,1,2,1,0
2021-02-12,3,3,7,6,6,10,3,4,7,0
2021-02-13,6,3,2,2,3,7,4,0,0,0
2021-02-14,0,1,0,0,2,3,1,1,0,0
2021-02-15,4,6,6,9,11,12,7,2,3,0
2021-02-16,2,3,2,3,9,8,8,5,2,1
2021-02-17,6,9,9,11,11,7,4,1,2,1
2021-02-18,6,6,5,8,10,8,6,4,3,0
2021-02-19,7,5,8,11,12,14,8,4,2,0
2021-02-20,2,3,7,0,6,6,5,3,0,0
2021-02-21,0,0,1,1,0,2,1,3,1,0
2021-02-22,7,15,8,6,13,15,8,6,3,0
2021-02-23,6,17,2,9,15,8,8,4,3,1
2021-02-24,3,7,4,7,5,12,5,9,5,0
2021-02-25,3,3,5,4,5,10,1,4,0,0
2021-02-26,3,7,8,10,11,12,5,6,3,1
2021-02-27,10,17,4,6,11,7,5,4,0,1
2021-02-28,2,2,2,3,3,2,1,2,0,0
2021-03-01,4,21,4,6,7,12,9,4,0,0
2021-03-02,8,7,4,9,9,12,8,5,1,0
2021-03-03,4,6,6,7,11,17,4,1,1,2
2021-03-04,4,12,17,7,9,17,13,7,5,2
2021-03-05,4,15,6,11,15,10,15,8,8,1
2021-03-06,4,7,5,10,6,13,11,5,4,2
2021-03-07,4,2,1,5,3,4,1,1,2,0
2021-03-08,5,6,19,9,12,18,10,5,6,3
2021-03-09,2,1,5,4,12,5,6,4,3,0
2021-03-10,5,15,13,10,17,17,10,6,5,0
2021-03-11,2,2,3,3,7,15,3,5,3,2
2021-03-12,4,10,3,5,12,15,13,9,9,0
2021-03-13,2,6,7,5,5,10,8,3,2,2
2021-03-14,4,1,0,4,4,1,5,2,3,0
2021-03-15,7,7,2,14,19,17,11,6,5,1
2021-03-16,2,7,5,10,11,12,9,8,13,1
2021-03-17,2,3,7,4,7,17,7,6,1,0
2021-03-18,5,6,9,8,6,15,13,4,4,2
2021-03-19,5,10,15,12,16,15,10,7,9,1
2021-03-20,2,5,3,5,4,2,2,3,0,0
2021-03-21,3,0,2,1,3,1,1,1,0,0
2021-03-22,1,5,5,12,11,17,5,8,5,0
2021-03-23,3,6,6,9,15,11,4,4,2,0
2021-03-24,9,3,9,4,9,16,7,5,2,1
2021-03-25,8,9,6,15,8,16,7,10,1,0
2021-03-26,4,8,6,9,11,10,7,6,2,0
2021-03-27,3,9,5,2,9,7,7,5,4,1
2021-03-28,0,1,2,4,2,2,0,1,0,0
2021-03-29,5,6,11,4,9,18,4,3,5,2
2021-03-30,3,5,3,6,11,10,11,7,4,1
2021-03-31,5,14,7,6,15,10,8,11,8,1
2021-04-01,5,4,11,11,11,21,9,3,3,0
2021-04-02,5,11,6,7,8,9,5,2,3,0
2021-04-03,4,6,3,3,5,3,9,3,2,0
2021-04-04,0,2,2,3,1,2,4,2,0,0
2021-04-05,0,1,2,1,0,1,1,0,1,0
2021-04-06,7,4,7,12,16,16,10,5,1,0
2021-04-07,5,12,12,15,17,21,13,11,2,1
2021-04-08,9,6,12,8,20,14,9,5,4,1
2021-04-09,4,11,17,12,19,23,18,7,5,1
2021-04-10,7,11,9,8,19,12,13,6,3,1
2021-04-11,3,2,4,4,4,4,2,3,0,0
2021-04-12,6,19,17,17,12,23,15,10,5,0
2021-04-13,5,12,12,13,20,18,14,9,0,1
2021-04-14,10,17,16,19,14,20,13,9,1,0
2021-04-15,17,16,16,8,12,15,10,7,2,1
2021-04-16,8,9,10,15,11,8,11,5,3,1
2021-04-17,10,3,4,13,13,12,7,5,1,2
2021-04-18,0,3,4,4,4,2,0,3,0,0
2021-04-19,23,9,12,17,15,17,7,9,1,1
2021-04-20,6,6,3,11,9,10,12,4,5,0
2021-04-21,16,16,14,13,23,21,16,8,2,0
2021-04-22,5,4,13,4,12,19,5,5,2,1
2021-04-23,8,12,9,10,10,17,9,7,4,2
2021-04-24,8,7,9,9,11,10,6,2,0,1
2021-04-25,1,2,2,2,6,3,2,0,0,0
2021-04-26,3,11,8,5,9,9,6,10,0,0
2021-04-27,6,8,10,11,11,18,8,7,1,1
2021-04-28,9,15,11,13,17,16,11,7,3,1
2021-04-29,9,9,14,19,12,15,7,7,2,0
2021-04-30,3,14,10,3,9,14,8,2,2,1
2021-05-01,4,4,3,5,8,7,3,4,2,2
2021-05-02,2,2,3,0,0,1,0,0,1,0
2021-05-03,9,12,8,9,12,13,4,2,1,1
2021-05-04,9,8,5,11,12,8,6,5,1,0
2021-05-05,5,11,7,9,9,12,3,9,0,0
2021-05-06,7,10,9,16,6,15,10,4,3,1
2021-05-07,5,3,5,13,11,8,7,8,1,0
2021-05-08,3,3,7,4,8,4,5,0,0,1
2021-05-09,2,0,4,2,2,2,1,1,0,0
2021-05-10,13,10,4,9,4,14,7,0,0,0
2021-05-11,8,7,4,8,9,3,5,1,1,1
2021-05-12,5,5,5,6,11,13,2,4,2,0
2021-05-13,10,0,5,8,9,12,8,4,0,0
2021-05-14,7,7,9,5,5,9,4,4,0,2
2021-05-15,6,3,7,4,8,4,3,2,2,1
2021-05-16,0,1,2,1,0,1,2,1,2,0
2021-05-17,4,5,1,1,8,5,3,2,1,0
2021-05-18,6,2,2,6,5,6,1,4,0,0
2021-05-19,6,4,4,5,2,2,5,2,0,0
2021-05-20,2,4,3,3,4,5,6,1,0,0
2021-05-21,1,6,7,7,2,3,2,3,0,0
2021-05-22,1,4,1,4,4,7,1,1,1,0
2021-05-23,0,0,0,0,0,2,1,1,0,0
2021-05-24,3,7,4,7,4,9,2,2,0,1
2021-05-25,1,8,3,3,4,6,4,0,1,1
2021-05-26,3,2,4,4,4,4,3,1,0,0
2021-05-27,2,3,2,3,6,4,3,2,1,0
2021-05-28,0,3,3,5,4,4,2,1,0,0
2021-05-29,1,0,0,0,0,3,0,0,0,0
2021-05-30,0,1,1,0,1,1,1,0,0,0
2021-05-31,0,1,1,2,2,3,3,0,0,0
2021-06-01,2,8,0,2,3,2,4,0,0,0
2021-06-02,1,0,0,0,0,0,0,0,0,0
2021-06-03,0,3,2,2,5,2,3,3,0,0
2021-06-04,1,1,1,2,2,2,1,1,1,1
2021-06-05,0,4,0,0,2,5,3,1,1,0
2021-06-06,0,0,1,0,0,0,0,0,0,0
2021-06-07,2,1,2,4,5,3,1,1,0,1
2021-06-08,1,6,2,3,6,3,0,0,1,0
2021-06-09,0,2,0,2,2,1,2,0,0,0
2021-06-10,1,10,3,2,5,4,2,0,0,0
2021-06-11,0,0,2,1,0,1,2,0,0,0
2021-06-12,0,2,1,3,1,4,0,1,0,1
2021-06-13,0,0,0,1,0,0,0,0,0,0
2021-06-14,1,3,1,1,6,1,1,0,1,0
2021-06-15,1,3,0,1,3,1,1,0,1,1
2021-06-16,1,1,0,1,3,3,1,1,0,0
2021-06-17,0,2,1,0,1,1,2,0,0,1
2021-06-18,0,1,0,3,0,1,2,0,0,0
2021-06-19,0,1,0,2,4,3,1,0,1,0
2021-06-20,0,0,0,0,0,0,0,0,0,0
2021-06-21,1,2,0,1,1,4,0,2,0,0
2021-06-22,1,1,0,2,2,3,0,0,0,0
2021-06-23,1,2,1,1,1,1,0,0,0,0
2021-06-24,2,0,3,0,1,1,1,0,0,0
2021-06-25,0,0,2,1,5,1,2,0,0,0
2021-06-26,0,1,0,0,2,0,1,3,1,0
2021-06-27,0,0,0,0,0,0,0,0,0,0
2021-06-28,0,0,2,0,0,1,0,0,0,0
2021-06-29,0,0,0,1,2,0,1,0,0,0
2021-06-30,0,2,0,0,2,0,2,0,0,0
2021-07-01,0,1,0,1,1,1,0,0,1,0
2021-07-02,0,1,0,0,3,0,0,0,0,0
2021-07-03,0,0,0,1,0,0,0,0,0,0
2021-07-04,0,0,0,0,0,0,0,0,0,0
2021-07-05,0,0,2,1,0,0,1,0,0,0
2021-07-06,0,3,1,2,0,0,0,0,0,0
2021-07-07,0,5,0,2,2,1,0,0,0,0
2021-07-08,0,1,0,0,0,0,2,0,0,0
2021-07-09,0,2,0,0,0,0,0,0,0,0
2021-07-10,0,0,0,0,0,1,0,0,0,0
2021-07-11,0,0,0,0,0,0,0,0,0,0
2021-07-12,0,0,0,0,0,1,1,0,1,0
2021-07-13,0,1,1,0,2,0,0,2,0,0
2021-07-14,0,1,0,0,1,0,0,0,0,0
2021-07-15,2,0,0,0,0,1,1,1,0,0
2021-07-16,0,1,0,1,2,0,0,0,0,0
2021-07-17,0,0,0,0,1,1,0,0,0,0
2021-07-18,0,0,0,0,0,0,0,0,0,0
2021-07-19,0,6,1,1,2,2,0,1,0,1
2021-07-20,1,3,5,3,1,1,2,0,0,0
2021-07-21,0,3,0,0,1,1,0,0,0,0
2021-07-22,0,0,2,2,1,1,1,2,0,0
2021-07-23,2,1,2,5,0,3,0,2,0,0
2021-07-24,0,0,0,1,0,0,0,0,0,0
2021-07-25,0,0,0,0,0,0,0,0,0,0
2021-07-26,0,2,11,1,2,2,0,0,0,0
2021-07-27,3,2,2,2,0,1,1,0,0,0
2021-07-28,2,5,1,2,3,2,1,0,0,0
2021-07-29,2,4,2,3,0,1,0,0,0,0
2021-07-30,0,8,12,3,3,6,1,1,2,1
2021-07-31,1,2,4,1,1,1,0,0,0,0
2021-08-01,0,0,0,0,0,0,0,0,0,0
2021-08-02,2,9,10,3,2,5,1,1,2,0
2021-08-03,7,11,7,3,8,7,3,2,1,0
2021-08-04,0,4,2,0,3,5,1,1,1,0
2021-08-05,0,2,3,3,3,1,3,1,2,0
