data,0-9 anni,10-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2021-02-25,0.2857142857142857,0.0,0.42857142857142855,0.7142857142857143,1.0,1.0,1.2857142857142858,3.2857142857142856,3.4285714285714284,1.5714285714285714
2021-02-26,0.2857142857142857,0.0,0.2857142857142857,0.5714285714285714,1.0,1.1428571428571428,1.5714285714285714,3.0,3.857142857142857,1.1428571428571428
2021-02-27,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,1.0,1.0,1.4285714285714286,3.0,4.285714285714286,1.1428571428571428
2021-02-28,0.5714285714285714,0.0,0.5714285714285714,0.42857142857142855,1.0,1.2857142857142858,1.4285714285714286,3.0,4.428571428571429,1.0
2021-03-01,0.7142857142857143,0.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,1.2857142857142858,1.1428571428571428,3.142857142857143,4.142857142857143,0.8571428571428571
2021-03-02,0.5714285714285714,0.0,0.42857142857142855,0.2857142857142857,1.1428571428571428,1.8571428571428572,1.0,2.857142857142857,3.7142857142857144,1.2857142857142858
2021-03-03,0.5714285714285714,0.0,0.42857142857142855,0.2857142857142857,1.2857142857142858,1.8571428571428572,1.4285714285714286,2.5714285714285716,3.4285714285714284,1.1428571428571428
2021-03-04,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,1.1428571428571428,2.142857142857143,1.7142857142857142,2.5714285714285716,3.7142857142857144,0.5714285714285714
2021-03-05,0.42857142857142855,0.0,0.42857142857142855,0.0,1.4285714285714286,2.4285714285714284,1.4285714285714286,3.142857142857143,3.142857142857143,0.5714285714285714
2021-03-06,0.42857142857142855,0.0,0.2857142857142857,0.0,1.0,2.5714285714285716,1.4285714285714286,3.0,2.857142857142857,0.5714285714285714
2021-03-07,0.2857142857142857,0.0,0.14285714285714285,0.0,1.1428571428571428,2.5714285714285716,1.2857142857142858,2.857142857142857,2.7142857142857144,0.5714285714285714
2021-03-08,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,1.1428571428571428,2.5714285714285716,1.5714285714285714,2.5714285714285716,2.4285714285714284,0.5714285714285714
2021-03-09,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,2.0,1.5714285714285714,2.7142857142857144,2.2857142857142856,0.2857142857142857
2021-03-10,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.8571428571428572,1.1428571428571428,2.5714285714285716,2.0,0.2857142857142857
2021-03-11,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.7142857142857142,1.0,2.5714285714285716,1.2857142857142858,0.2857142857142857
2021-03-12,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.2857142857142858,1.0,1.8571428571428572,1.1428571428571428,0.2857142857142857
2021-03-13,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.1428571428571428,1.1428571428571428,1.8571428571428572,1.0,0.2857142857142857
2021-03-14,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,1.1428571428571428,1.1428571428571428,1.4285714285714286,0.5714285714285714,0.2857142857142857
2021-03-15,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,1.2857142857142858,1.2857142857142858,1.2857142857142858,0.42857142857142855,0.42857142857142855
2021-03-16,0.2857142857142857,0.0,0.2857142857142857,0.7142857142857143,0.42857142857142855,1.2857142857142858,1.7142857142857142,1.2857142857142858,0.42857142857142855,0.2857142857142857
2021-03-17,0.2857142857142857,0.0,0.2857142857142857,0.7142857142857143,0.7142857142857143,1.4285714285714286,2.0,1.2857142857142858,0.42857142857142855,0.5714285714285714
2021-03-18,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143,0.8571428571428571,1.4285714285714286,1.8571428571428572,0.7142857142857143,0.42857142857142855,0.5714285714285714
2021-03-19,0.14285714285714285,0.0,0.42857142857142855,1.0,1.0,1.7142857142857142,2.0,0.8571428571428571,0.42857142857142855,0.7142857142857143
2021-03-20,0.14285714285714285,0.0,0.42857142857142855,0.8571428571428571,1.0,1.5714285714285714,1.8571428571428572,0.8571428571428571,0.5714285714285714,0.5714285714285714
2021-03-21,0.14285714285714285,0.0,0.5714285714285714,0.8571428571428571,1.0,1.5714285714285714,2.0,1.2857142857142858,0.7142857142857143,0.7142857142857143
2021-03-22,0.2857142857142857,0.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.7142857142857142,1.5714285714285714,1.4285714285714286,0.8571428571428571,0.5714285714285714
2021-03-23,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.8571428571428572,1.0,1.1428571428571428,0.8571428571428571,0.5714285714285714
2021-03-24,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,1.7142857142857142,0.7142857142857143,1.2857142857142858,0.8571428571428571,0.2857142857142857
2021-03-25,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,1.4285714285714286,0.7142857142857143,1.7142857142857142,1.0,0.42857142857142855
2021-03-26,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.0,0.42857142857142855,1.5714285714285714,1.2857142857142858,0.2857142857142857
2021-03-27,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.1428571428571428,0.2857142857142857,1.4285714285714286,1.1428571428571428,0.2857142857142857
2021-03-28,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,1.0,1.0,0.0,1.2857142857142858,1.0,0.14285714285714285
2021-03-29,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.0,1.1428571428571428,0.8571428571428571,0.14285714285714285
2021-03-30,0.2857142857142857,0.14285714285714285,0.0,0.0,0.8571428571428571,0.5714285714285714,0.42857142857142855,1.2857142857142858,0.8571428571428571,0.2857142857142857
2021-03-31,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.2857142857142858,0.8571428571428571,0.2857142857142857
2021-04-01,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.2857142857142857
2021-04-02,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,1.0,1.0,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.2857142857142857
2021-04-03,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.8571428571428571,1.1428571428571428,1.1428571428571428,1.1428571428571428,0.2857142857142857,0.2857142857142857
2021-04-04,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,1.0,1.1428571428571428,0.8571428571428571,0.2857142857142857,0.2857142857142857
2021-04-05,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.8571428571428571,1.1428571428571428,1.1428571428571428,0.42857142857142855,0.2857142857142857
2021-04-06,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,1.1428571428571428,0.8571428571428571,0.7142857142857143,1.1428571428571428,0.5714285714285714,0.14285714285714285
2021-04-07,0.14285714285714285,0.0,0.0,0.42857142857142855,1.1428571428571428,0.8571428571428571,1.0,1.1428571428571428,0.5714285714285714,0.14285714285714285
2021-04-08,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,1.2857142857142858,0.7142857142857143,1.0,1.2857142857142858,0.5714285714285714,0.0
2021-04-09,0.0,0.0,0.14285714285714285,0.2857142857142857,1.5714285714285714,0.7142857142857143,1.0,1.4285714285714286,0.42857142857142855,0.14285714285714285
2021-04-10,0.0,0.0,0.14285714285714285,0.14285714285714285,1.5714285714285714,0.5714285714285714,1.0,1.4285714285714286,0.2857142857142857,0.14285714285714285
2021-04-11,0.0,0.0,0.14285714285714285,0.2857142857142857,1.4285714285714286,0.8571428571428571,1.1428571428571428,1.5714285714285714,0.2857142857142857,0.14285714285714285
2021-04-12,0.0,0.0,0.2857142857142857,0.42857142857142855,1.1428571428571428,1.0,1.4285714285714286,1.2857142857142858,0.14285714285714285,0.14285714285714285
2021-04-13,0.0,0.0,0.2857142857142857,0.42857142857142855,0.8571428571428571,1.0,1.4285714285714286,1.0,0.0,0.14285714285714285
2021-04-14,0.0,0.0,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.14285714285714285
2021-04-15,0.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.0,0.2857142857142857,0.2857142857142857
2021-04-16,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.7142857142857143,1.4285714285714286,0.2857142857142857,0.14285714285714285
2021-04-17,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.7142857142857143,1.0,0.42857142857142855,0.14285714285714285
2021-04-18,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.2857142857142857
2021-04-19,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,1.0,0.42857142857142855,0.2857142857142857
2021-04-20,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,1.0,0.42857142857142855,0.2857142857142857
2021-04-21,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.5714285714285714,1.0,0.14285714285714285,0.42857142857142855
2021-04-22,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.2857142857142857
2021-04-23,0.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857
2021-04-24,0.0,0.0,0.0,0.14285714285714285,1.0,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857
2021-04-25,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
2021-04-26,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285
2021-04-27,0.0,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.14285714285714285
2021-04-28,0.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.42857142857142855,1.0,0.2857142857142857,0.0
2021-04-29,0.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.0
2021-04-30,0.0,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.0
2021-05-01,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.0
2021-05-02,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.0,0.14285714285714285,0.14285714285714285
2021-05-03,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.14285714285714285
2021-05-04,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285
2021-05-05,0.0,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285
2021-05-06,0.0,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285
2021-05-07,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285
2021-05-08,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285
2021-05-09,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0
2021-05-10,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0
2021-05-11,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0
2021-05-12,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.0
2021-05-13,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,0.0
2021-05-14,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0
2021-05-15,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0
2021-05-16,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0
2021-05-17,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0
2021-05-18,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0
2021-05-19,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0
2021-05-20,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2021-05-21,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2021-05-22,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
2021-05-23,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
2021-05-24,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285
2021-05-25,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285
2021-05-26,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.0,0.14285714285714285
2021-05-27,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285
2021-05-28,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285
2021-05-29,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857
2021-05-30,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857
2021-05-31,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857
2021-06-01,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857
2021-06-02,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857
2021-06-03,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857
2021-06-04,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285
2021-06-05,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0
2021-06-06,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0
2021-06-07,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0
2021-06-08,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0
2021-06-09,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0
2021-06-10,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2021-06-11,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2021-06-12,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
2021-06-13,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
2021-06-14,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
2021-06-15,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
2021-06-16,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
2021-06-17,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
2021-06-18,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
2021-06-19,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0
2021-06-20,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0
2021-06-21,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
2021-06-22,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0
2021-06-23,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0
2021-06-24,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
2021-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
2021-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2021-07-03,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
2021-07-04,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285
2021-07-05,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285
2021-07-06,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285
2021-07-07,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285
2021-07-08,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285
2021-07-09,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285
2021-07-10,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285
2021-07-11,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-07-13,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-14,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-15,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-16,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-07-17,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-07-18,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-07-19,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-07-20,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-07-21,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2021-07-22,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
2021-07-23,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285
2021-07-24,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
2021-07-25,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285
2021-07-26,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285
2021-07-27,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285
2021-07-28,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285
2021-07-29,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0
2021-07-30,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0
2021-07-31,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
2021-08-01,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2021-08-02,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2021-08-03,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
2021-08-04,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
2021-08-05,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
2021-08-06,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
2021-08-07,0.0,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2021-08-08,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2021-08-09,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2021-08-10,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0
2021-08-11,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2021-08-12,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0
2021-08-13,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0
2021-08-14,0.0,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0
2021-08-15,0.0,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0
2021-08-16,0.0,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0
2021-08-17,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0
2021-08-18,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0
2021-08-19,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
2021-08-20,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0
2021-08-21,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0
2021-08-22,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
2021-08-23,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
2021-08-24,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
2021-08-25,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
2021-08-26,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0
2021-08-27,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0
2021-08-28,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0
