date,incidence,incidence_7_days_moving_average
2021-01-09,1850,2058.4285714285716
2021-01-10,923,1820.4285714285713
2021-01-11,2326,1620.4285714285713
2021-01-12,1792,1496.4285714285713
2021-01-13,1506,1439.2857142857142
2021-01-14,1451,1337.2857142857142
2021-01-15,1495,1241.857142857143
2021-01-16,982,1176.857142857143
2021-01-17,523,1121.2857142857142
2021-01-18,1612,1061.5714285714287
2021-01-19,1124,1021.2857142857143
2021-01-20,1051,1004.5714285714286
2021-01-21,1062,957.7142857142857
2021-01-22,1077,922.2857142857143
2021-01-23,700,889.0
2021-01-24,406,839.7142857142857
2021-01-25,1284,796.4285714285714
2021-01-26,876,769.0
2021-01-27,818,750.5714285714286
2021-01-28,717,690.2857142857143
2021-01-29,774,663.2857142857143
2021-01-30,508,642.2857142857143
2021-01-31,277,641.0
2021-02-01,862,638.4285714285714
2021-02-02,687,630.8571428571429
2021-02-03,671,636.2857142857143
2021-02-04,708,653.2857142857143
2021-02-05,756,666.8571428571429
2021-02-06,455,670.2857142857143
2021-02-07,315,666.2857142857143
2021-02-08,981,654.7142857142857
2021-02-09,782,650.4285714285714
2021-02-10,695,639.1428571428571
2021-02-11,680,614.2857142857143
2021-02-12,675,611.2857142857143
2021-02-13,425,624.0
2021-02-14,236,652.1428571428571
2021-02-15,807,695.2857142857143
2021-02-16,761,748.1428571428571
2021-02-17,784,766.4285714285714
2021-02-18,877,845.2857142857143
2021-02-19,977,901.1428571428571
2021-02-20,795,950.8571428571429
2021-02-21,364,989.4285714285714
2021-02-22,1359,1019.5714285714286
2021-02-23,1152,1030.2857142857142
2021-02-24,1132,1046.0
2021-02-25,1147,1079.5714285714287
2021-02-26,1188,1123.5714285714287
2021-02-27,870,1185.5714285714287
2021-02-28,474,1225.142857142857
2021-03-01,1594,1302.142857142857
2021-03-02,1460,1358.0
2021-03-03,1566,1381.4285714285713
2021-03-04,1424,1443.7142857142858
2021-03-05,1727,1495.142857142857
2021-03-06,1261,1534.5714285714287
2021-03-07,638,1625.857142857143
2021-03-08,2030,1681.0
2021-03-09,1820,1723.7142857142858
2021-03-10,1842,1743.7142857142858
2021-03-11,2063,1800.5714285714287
2021-03-12,2113,1842.4285714285713
2021-03-13,1560,1844.857142857143
2021-03-14,778,1816.2857142857142
2021-03-15,2428,1800.5714285714287
2021-03-16,2113,1776.2857142857142
2021-03-17,1859,1765.7142857142858
2021-03-18,1863,1765.5714285714287
2021-03-19,2003,1750.857142857143
2021-03-20,1390,1764.0
2021-03-21,704,1759.5714285714287
2021-03-22,2427,1717.2857142857142
2021-03-23,2010,1704.2857142857142
2021-03-24,1951,1697.0
2021-03-25,1832,1641.4285714285713
2021-03-26,1707,1608.4285714285713
2021-03-27,1299,1534.2857142857142
2021-03-28,653,1466.0
2021-03-29,2038,1405.7142857142858
2021-03-30,1779,1348.5714285714287
2021-03-31,1432,1315.142857142857
2021-04-01,1354,1097.4285714285713
2021-04-02,1285,1038.857142857143
2021-04-03,899,988.0
2021-04-04,419,938.5714285714286
2021-04-05,514,913.2857142857143
2021-04-06,1369,903.4285714285714
2021-04-07,1076,902.7142857142857
2021-04-08,1008,1009.1428571428571
2021-04-09,1108,969.0
2021-04-10,830,948.0
2021-04-11,414,942.1428571428571
2021-04-12,1259,922.2857142857143
2021-04-13,1088,905.8571428571429
2021-04-14,929,892.2857142857143
2021-04-15,967,883.4285714285714
2021-04-16,969,879.2857142857143
2021-04-17,715,880.0
2021-04-18,319,882.8571428571429
2021-04-19,1197,892.0
2021-04-20,1059,897.8571428571429
2021-04-21,934,894.0
2021-04-22,987,892.4285714285714
2021-04-23,1033,861.8571428571429
2021-04-24,756,854.5714285714286
2021-04-25,292,816.2857142857143
2021-04-26,1186,782.1428571428571
2021-04-27,845,729.4285714285714
2021-04-28,883,728.1428571428571
2021-04-29,719,680.8571428571429
2021-04-30,794,670.2857142857143
2021-05-01,387,635.8571428571429
2021-05-02,283,618.7142857142857
2021-05-03,855,585.2857142857143
2021-05-04,771,587.7142857142857
2021-05-05,642,577.5714285714286
2021-05-06,599,531.7142857142857
2021-05-07,560,487.85714285714283
2021-05-08,404,454.14285714285717
2021-05-09,212,418.85714285714283
2021-05-10,534,390.0
2021-05-11,464,367.0
2021-05-12,406,354.7142857142857
2021-05-13,352,335.57142857142856
2021-05-14,358,316.2857142857143
2021-05-15,243,297.42857142857144
2021-05-16,126,283.0
2021-05-17,400,259.2857142857143
2021-05-18,329,245.85714285714286
2021-05-19,274,238.14285714285714
2021-05-20,251,216.42857142857142
2021-05-21,192,199.57142857142858
2021-05-22,149,191.0
2021-05-23,72,182.71428571428572
2021-05-24,248,181.14285714285714
2021-05-25,211,174.14285714285714
2021-05-26,214,171.14285714285714
2021-05-27,193,159.57142857142858
2021-05-28,181,145.57142857142858
2021-05-29,100,123.14285714285714
2021-05-30,51,118.57142857142857
2021-05-31,167,111.14285714285714
2021-06-01,113,110.14285714285714
2021-06-02,57,108.85714285714286
2021-06-03,161,103.0
2021-06-04,129,101.42857142857143
2021-06-05,93,104.57142857142857
2021-06-06,42,93.71428571428571
2021-06-07,126,86.14285714285714
2021-06-08,102,79.0
2021-06-09,79,77.57142857142857
2021-06-10,85,72.0
2021-06-11,76,65.0
2021-06-12,43,61.857142857142854
2021-06-13,32,57.57142857142857
2021-06-14,87,54.285714285714285
2021-06-15,53,51.285714285714285
2021-06-16,57,48.714285714285715
2021-06-17,55,41.142857142857146
2021-06-18,53,40.42857142857143
2021-06-19,22,37.142857142857146
2021-06-20,14,34.0
2021-06-21,34,34.285714285714285
2021-06-22,48,36.0
2021-06-23,34,36.714285714285715
2021-06-24,33,38.57142857142857
2021-06-25,55,38.42857142857143
2021-06-26,34,42.714285714285715
2021-06-27,19,49.285714285714285
2021-06-28,47,50.857142857142854
2021-06-29,47,53.285714285714285
2021-06-30,64,55.0
2021-07-01,79,65.57142857142857
2021-07-02,66,78.85714285714286
2021-07-03,51,84.0
2021-07-04,31,90.85714285714286
2021-07-05,121,103.85714285714286
2021-07-06,140,120.71428571428571
2021-07-07,100,133.85714285714286
2021-07-08,127,154.57142857142858
2021-07-09,157,177.71428571428572
2021-07-10,169,215.28571428571428
2021-07-11,123,261.57142857142856
2021-07-12,266,305.42857142857144
2021-07-13,302,335.0
2021-07-14,363,356.14285714285717
2021-07-15,451,415.42857142857144
2021-07-16,464,466.7142857142857
2021-07-17,376,506.14285714285717
2021-07-18,271,522.1428571428571
2021-07-19,681,546.4285714285714
2021-07-20,661,570.1428571428571
2021-07-21,639,573.7142857142857
2021-07-22,563,580.0
2021-07-23,634,592.2857142857143
2021-07-24,542,601.7142857142857
2021-07-25,296,614.4285714285714
2021-07-26,725,624.5714285714286
2021-07-27,747,631.2857142857143
2021-07-28,705,637.0
2021-07-29,652,643.1428571428571
2021-07-30,705,642.2857142857143
2021-07-31,589,642.2857142857143
2021-08-01,336,640.2857142857143
2021-08-02,768,631.2857142857143
2021-08-03,741,620.0
2021-08-04,705,616.0
2021-08-05,638,603.1428571428571
2021-08-06,642,597.5714285714286
2021-08-07,510,573.8571428571429
2021-08-08,308,568.4285714285714
2021-08-09,678,552.4285714285714
2021-08-10,702,538.0
2021-08-11,539,531.4285714285714
2021-08-12,600,528.2857142857143
2021-08-13,530,512.2857142857143
2021-08-14,409,510.2857142857143
2021-08-15,262,507.7142857142857
2021-08-16,656,517.8571428571429
2021-08-17,590,531.7142857142857
2021-08-18,525,531.0
2021-08-19,582,561.4285714285714
2021-08-20,601,580.8571428571429
2021-08-21,506,600.4285714285714
2021-08-22,257,613.5714285714286
2021-08-23,869,614.1428571428571
2021-08-24,726,613.7142857142857
2021-08-25,662,613.4285714285714
2021-08-26,674,595.1428571428571
2021-08-27,605,586.7142857142857
2021-08-28,503,581.0
2021-08-29,255,572.0
2021-08-30,741,571.8571428571429
2021-08-31,667,569.7142857142857
2021-09-01,622,567.5714285714286
2021-09-02,611,564.5714285714286
2021-09-03,604,560.0
2021-09-04,488,543.2857142857143
2021-09-05,240,535.7142857142857
2021-09-06,720,529.8571428571429
2021-09-07,635,520.0
2021-09-08,505,518.5714285714286
2021-09-09,558,492.2857142857143
2021-09-10,563,475.2857142857143
2021-09-11,419,474.7142857142857
2021-09-12,230,466.2857142857143
2021-09-13,536,451.57142857142856
2021-09-14,516,440.85714285714283
2021-09-15,501,434.7142857142857
2021-09-16,499,436.14285714285717
2021-09-17,460,425.7142857142857
2021-09-18,344,411.2857142857143
2021-09-19,187,391.14285714285717
2021-09-20,546,377.7142857142857
2021-09-21,443,369.57142857142856
2021-09-22,400,365.42857142857144
2021-09-23,358,350.42857142857144
2021-09-24,366,340.14285714285717
2021-09-25,287,333.57142857142856
2021-09-26,158,337.42857142857144
2021-09-27,441,334.85714285714283
2021-09-28,371,334.0
2021-09-29,354,332.14285714285717
2021-09-30,385,323.42857142857144
2021-10-01,348,317.57142857142856
2021-10-02,281,314.2857142857143
2021-10-03,145,303.42857142857144
2021-10-04,380,296.7142857142857
2021-10-05,330,290.0
2021-10-06,331,287.7142857142857
2021-10-07,309,289.2857142857143
2021-10-08,301,286.7142857142857
2021-10-09,234,282.2857142857143
2021-10-10,129,286.14285714285717
2021-10-11,391,288.42857142857144
2021-10-12,312,289.2857142857143
2021-10-13,300,286.2857142857143
2021-10-14,336,296.14285714285717
2021-10-15,317,308.85714285714283
2021-10-16,240,321.42857142857144
2021-10-17,108,331.14285714285717
2021-10-18,460,361.7142857142857
2021-10-19,401,375.2857142857143
2021-10-20,388,391.7142857142857
2021-10-21,404,409.7142857142857
2021-10-22,531,428.2857142857143
2021-10-23,335,450.57142857142856
2021-10-24,223,469.85714285714283
2021-10-25,586,468.0
2021-10-26,531,483.14285714285717
2021-10-27,544,496.57142857142856
2021-10-28,539,459.14285714285717
2021-10-29,518,494.57142857142856
2021-10-30,441,526.2857142857143
2021-10-31,317,572.8571428571429
2021-11-01,324,622.4285714285714
2021-11-02,779,652.7142857142857
2021-11-03,766,654.7142857142857
2021-11-04,865,772.4285714285714
2021-11-05,865,810.8571428571429
2021-11-06,653,833.5714285714286
2021-11-07,331,860.7142857142857
2021-11-08,1148,896.1428571428571
2021-11-09,1048,940.4285714285714
2021-11-10,925,977.0
2021-11-11,1055,1046.857142857143
2021-11-12,1113,1115.2857142857142
2021-11-13,963,1200.142857142857
2021-11-14,587,1282.2857142857142
2021-11-15,1637,1375.142857142857
2021-11-16,1527,1445.7142857142858
2021-11-17,1519,1471.7142857142858
2021-11-18,1630,1557.7142857142858
2021-11-19,1763,1650.142857142857
2021-11-20,1457,1751.4285714285713
2021-11-21,769,1823.4285714285713
2021-11-22,2239,1885.2857142857142
2021-11-23,2174,1989.5714285714287
2021-11-24,2228,2032.7142857142858
2021-11-25,2134,2142.4285714285716
2021-11-26,2196,2239.5714285714284
2021-11-27,2187,2291.714285714286
2021-11-28,1071,2362.285714285714
2021-11-29,3007,2414.0
2021-11-30,2854,2325.1428571428573
2021-12-01,2593,2241.8571428571427
2021-12-02,2628,
2021-12-03,2558,
2021-12-04,1565,
2021-12-05,488,
